date_key,calendar_date,year,quarter,month,month_name
20180701,2018-07-01,2018,3,7,July
20180801,2018-08-01,2018,3,8,August
20180901,2018-09-01,2018,3,9,September
20181001,2018-10-01,2018,4,10,October
20181101,2018-11-01,2018,4,11,November
20181201,2018-12-01,2018,4,12,December
20190101,2019-01-01,2019,1,1,January
20190201,2019-02-01,2019,1,2,February
20190301,2019-03-01,2019,1,3,March
20190401,2019-04-01,2019,2,4,April
20190501,2019-05-01,2019,2,5,May
20190601,2019-06-01,2019,2,6,June
20190701,2019-07-01,2019,3,7,July
20190801,2019-08-01,2019,3,8,August
20190901,2019-09-01,2019,3,9,September
20191001,2019-10-01,2019,4,10,October
20191101,2019-11-01,2019,4,11,November
20191201,2019-12-01,2019,4,12,December
20200101,2020-01-01,2020,1,1,January
20200201,2020-02-01,2020,1,2,February
20200301,2020-03-01,2020,1,3,March
20200401,2020-04-01,2020,2,4,April
20200501,2020-05-01,2020,2,5,May
20200601,2020-06-01,2020,2,6,June
20200701,2020-07-01,2020,3,7,July
20200801,2020-08-01,2020,3,8,August
20200901,2020-09-01,2020,3,9,September
20201001,2020-10-01,2020,4,10,October
20201101,2020-11-01,2020,4,11,November
20201201,2020-12-01,2020,4,12,December
20210101,2021-01-01,2021,1,1,January
20210201,2021-02-01,2021,1,2,February
20210301,2021-03-01,2021,1,3,March
20210401,2021-04-01,2021,2,4,April
20210501,2021-05-01,2021,2,5,May
20210601,2021-06-01,2021,2,6,June
20210701,2021-07-01,2021,3,7,July
20210801,2021-08-01,2021,3,8,August
20210901,2021-09-01,2021,3,9,September
20211001,2021-10-01,2021,4,10,October
20211101,2021-11-01,2021,4,11,November
20211201,2021-12-01,2021,4,12,December
20220101,2022-01-01,2022,1,1,January
20220201,2022-02-01,2022,1,2,February
20220301,2022-03-01,2022,1,3,March
20220401,2022-04-01,2022,2,4,April
20220501,2022-05-01,2022,2,5,May
20220601,2022-06-01,2022,2,6,June
20220701,2022-07-01,2022,3,7,July
20220801,2022-08-01,2022,3,8,August
20220901,2022-09-01,2022,3,9,September
20221001,2022-10-01,2022,4,10,October
20221101,2022-11-01,2022,4,11,November
20221201,2022-12-01,2022,4,12,December
20230101,2023-01-01,2023,1,1,January
20230201,2023-02-01,2023,1,2,February
20230301,2023-03-01,2023,1,3,March
20230401,2023-04-01,2023,2,4,April
20230501,2023-05-01,2023,2,5,May
20230601,2023-06-01,2023,2,6,June
20230701,2023-07-01,2023,3,7,July
20230801,2023-08-01,2023,3,8,August
20230901,2023-09-01,2023,3,9,September
20231001,2023-10-01,2023,4,10,October
20231101,2023-11-01,2023,4,11,November
20231201,2023-12-01,2023,4,12,December
20240101,2024-01-01,2024,1,1,January
20240201,2024-02-01,2024,1,2,February
20240301,2024-03-01,2024,1,3,March
20240401,2024-04-01,2024,2,4,April
20240501,2024-05-01,2024,2,5,May
20240601,2024-06-01,2024,2,6,June
20240701,2024-07-01,2024,3,7,July
20240801,2024-08-01,2024,3,8,August
20240901,2024-09-01,2024,3,9,September
20241001,2024-10-01,2024,4,10,October
20241101,2024-11-01,2024,4,11,November
20241201,2024-12-01,2024,4,12,December
20250101,2025-01-01,2025,1,1,January
20250201,2025-02-01,2025,1,2,February
20250301,2025-03-01,2025,1,3,March
20250401,2025-04-01,2025,2,4,April
20250501,2025-05-01,2025,2,5,May
20250601,2025-06-01,2025,2,6,June
20250701,2025-07-01,2025,3,7,July
20250801,2025-08-01,2025,3,8,August
20250901,2025-09-01,2025,3,9,September
20250902,2025-09-02,2025,3,9,September
20250903,2025-09-03,2025,3,9,September
20250904,2025-09-04,2025,3,9,September
20250905,2025-09-05,2025,3,9,September
20250906,2025-09-06,2025,3,9,September
20250907,2025-09-07,2025,3,9,September
20250908,2025-09-08,2025,3,9,September
20250909,2025-09-09,2025,3,9,September
20250910,2025-09-10,2025,3,9,September
20250911,2025-09-11,2025,3,9,September
20250912,2025-09-12,2025,3,9,September
20250913,2025-09-13,2025,3,9,September
20250914,2025-09-14,2025,3,9,September
20250915,2025-09-15,2025,3,9,September
20251001,2025-10-01,2025,4,10,October
20251002,2025-10-02,2025,4,10,October
20251003,2025-10-03,2025,4,10,October
20251004,2025-10-04,2025,4,10,October
20251005,2025-10-05,2025,4,10,October
20251006,2025-10-06,2025,4,10,October
20251007,2025-10-07,2025,4,10,October
20251008,2025-10-08,2025,4,10,October
20251009,2025-10-09,2025,4,10,October
20251010,2025-10-10,2025,4,10,October
20251011,2025-10-11,2025,4,10,October
20251012,2025-10-12,2025,4,10,October
20251013,2025-10-13,2025,4,10,October
20251014,2025-10-14,2025,4,10,October
20251015,2025-10-15,2025,4,10,October
20251101,2025-11-01,2025,4,11,November
20251102,2025-11-02,2025,4,11,November
20251103,2025-11-03,2025,4,11,November
20251104,2025-11-04,2025,4,11,November
20251105,2025-11-05,2025,4,11,November
20251106,2025-11-06,2025,4,11,November
20251107,2025-11-07,2025,4,11,November
20251108,2025-11-08,2025,4,11,November
20251109,2025-11-09,2025,4,11,November
20251110,2025-11-10,2025,4,11,November
20251111,2025-11-11,2025,4,11,November
20251112,2025-11-12,2025,4,11,November
20251113,2025-11-13,2025,4,11,November
20251114,2025-11-14,2025,4,11,November
20251115,2025-11-15,2025,4,11,November
20251120,2025-11-20,2025,4,11,November
20251201,2025-12-01,2025,4,12,December
20251202,2025-12-02,2025,4,12,December
20251203,2025-12-03,2025,4,12,December
20251204,2025-12-04,2025,4,12,December
20251205,2025-12-05,2025,4,12,December
20251206,2025-12-06,2025,4,12,December
20251207,2025-12-07,2025,4,12,December
20251208,2025-12-08,2025,4,12,December
20251209,2025-12-09,2025,4,12,December
20251210,2025-12-10,2025,4,12,December
20251211,2025-12-11,2025,4,12,December
20251212,2025-12-12,2025,4,12,December
20251213,2025-12-13,2025,4,12,December
20251214,2025-12-14,2025,4,12,December
20251215,2025-12-15,2025,4,12,December
20260101,2026-01-01,2026,1,1,January
20260102,2026-01-02,2026,1,1,January
20260103,2026-01-03,2026,1,1,January
20260104,2026-01-04,2026,1,1,January
20260105,2026-01-05,2026,1,1,January
20260106,2026-01-06,2026,1,1,January
20260107,2026-01-07,2026,1,1,January
20260108,2026-01-08,2026,1,1,January
20260109,2026-01-09,2026,1,1,January
