category_variant_key,source_key,group_code_normalized,group_description,category_code_normalized,category_description,data_truth_class
009ab973be2a00b0aea8715f3af41827b8be094a8122294dce5f8a67b994c128,D2,complaint,Complaint - General,finance,Financial Services Section,real_public_reference
01c75798049db69bdea6a63bf5978f8e570453bc3596b11344c2c9b2501cfc0b,D2,cstree,Trees,cstrinsp,Tree Inspection,real_public_reference
034cea89f3b493c2d56e12190c69cde37c66ef8616197a22a6d62d511356fedf,D2,csfood,Food,cspoison,Poisoning,real_public_reference
0502f7dafc443924d1d7ceeb8283b53bdc9b36c5f772318875a8ea8a2fef8e29,D2,csbuildpc,Privately Certified Building Lodgement,csform20,Form 20 – Building Approvals Lodgement,real_public_reference
05285173c6e980a6bdf1d5ffa279d2760075d828f663a8e72be22528acf87db9,D2,cstechserv,Technical Services (New/Upgrade),csstmwater,Stormwater,real_public_reference
06a41356f4dfd0d68022b103390a0bfba6c78bab1742c29f22a2dea81902d5d1,D2,csrates,Rates,cswatleak,Water Leakage Concession Requests,real_public_reference
08a4e66d80a69ad26e8baf6d26d9afe22fe40fc5312eee74bc277b91ba6564b3,D2,csunsealrd,Road Gravel/Dirt,csdefect,Defects,real_public_reference
08adef63ff1909bb8d2fff7f2b9bd54778054d98f3d6aecee0c5b5078a579a12,D2,csprkinf,Park Infrastructure,csplyeqipr,Play Equipment (Imminent public risk),real_public_reference
099461d581eaeda979dd8a4c8a79d20db886fe9bfc0931d3918ef55b8f150b57,D2,csera,ERA,cscomm,Commercial,real_public_reference
09ac73714ec881910567fb7298c51d50e0a3727d85013b76864651259295e0f8,D2,csanimangt,Animal Management,csnoise,Noise,real_public_reference
09c4b40a6eb0368eca86e40620cb05024172aae8035e7db29ed88ba4629f8731,D2,csdrvway,Driveways,csdrvinfo,New Driveway Information Request,real_public_reference
09e362998839a640c3cbaf8e4c937e4ccd9c363bf4a4b0659d2f1cc0fe9e6962,D2,csehrllo,EH & Reg Legal Liaison Service Request,csehrllr,EH & Reg Legal Liaison Service Request,real_public_reference
0a97259f87ef168f56759bcc6298ed264d69dc51892a6bb78f48c200b292a6ba,D2,csaccom,Accomodation,csldghouse,Lodging House (Health Issues),real_public_reference
0b05c29a1ad929bd247ca2963c30b6d28e50f2c793a6391f580f86a4345bc7d6,D2,complaint,Complaint - General,watwaste,Water/Wastewater/Waste Section,real_public_reference
0b637a1583820fa6893e16bd72c9196b403f4e7626bf81dc37ae7034f4d9232e,D2,csinforeq,Information Request,csregsrvs,Regulatory Services (Compliance Team),real_public_reference
0bb4a2e92d62a6bc5b7aebfe5d67c2e075769bd72ace64da232945a4afc25078,D2,csplmdrn,Plumbing & Drainage,csinforeq,Information Request,real_public_reference
0bffd0e114e451509bf36180660e5b58614dc899bcfcbc8354a0fc120bd28458,D2,csntrlmgmt,Natural Area Management,csfrshcriv,Freshwater Creeks & Rivers,real_public_reference
0cf20aab692c91bbef97d5c183ad852cba06a6ade0be7601d194a1c6897ff4c8,D2,cslit,Litter,csstreet,Street,real_public_reference
0e77678f704fb396ade6c1168725237b8d34fb36af8fb23fea0f9b20140165f0,D2,csbridges,Bridges and Footbridges,csrepmain,Repair/Maintenance,real_public_reference
0e960ed93e6d81db0779406699bd5152c22479ba55b7103153ccd8bc10f961db,D2,csregserv,EH & Regulatory Services Request for Service,cspermits,Parking Permits - EH&R,real_public_reference
0fd4d099357859c4069eddb250399a46e179d824c41e828a75cf59bad11d13fb,D2,cstree,Trees,csdeadtree,Dead Trees,real_public_reference
1046162864486ff10200687d5a8fafa24160cedcc9112eb88b14907fe4df9c90,D2,csinforeq,Information Request,csparking,Parking - Regulation of Vehicle,real_public_reference
10d971dfb28beb329ebd3593be0947a6bc63b12b47061f58c46f998fb0998e37,D2,csfood,Food,csforeigno,Foreign Object,real_public_reference
11f9c5f7a9cb1c3ed8445160eed142037cc9e5bba6212a3e1d4019e52a083bfe,D2,csanimangt,Animal Management,csstray,Stray,real_public_reference
14371094407fd4a939da4c92c703197f474dbecc380a8b5f15d4b41857858216,D2,csbusshlt,Bus Shelters,cssafeconc,Safety Concern,real_public_reference
1443fa3a6f5bd6b542d084b221c43c07178ae6e8e89ef45e5a66482461f8b4be,D2,csanimangt,Animal Management,csexcess,Excess,real_public_reference
146fd239f12e13f2f902ba0cc3f3b2dfe23809937e85e4545505afa24fcc4266,D2,cscarprk,Parking,csparkmtr,Replace Parking Meter,real_public_reference
1543f57dc260908c020a94e2b596057d89dd3c36298e45438774f6009c2c2b19,D2,cswsteserv,Waste Services,csmisbin,Bins Missed Collection,real_public_reference
15492aa133d4f3e1a628fd34ebe714086acc5feed590411f2f2ab362fa3f6433,D2,cscomplmt,Compliment,finance,Financial Services Section,real_public_reference
158058cd3974035d0daa9c7eb62c9ecdf2b59172bc0f8b5c590b0ac4b6c299d2,D2,cssealrd,Road Sealed/Bitumen,cspthole,Pothole,real_public_reference
15a6a573ea46454ec9bd966bbd86e6de7582bd2de3d99faea4c861cdc69f721c,D2,complaint,Complaint - General,itserv,Customer & Digital Services,real_public_reference
15f923ca71e93842a648399c117b081e0569b1ade8cb3fd26529f841cf5846cc,D2,cscomplmt,Compliment,envservs,Sustainability & Environmental Services Section,real_public_reference
16048f12cccb8e7220c4e9d82c12755f45408915a1d12350589d1f5e7ec1864d,D2,csrdancil,Road Ancillary,csgategrid,Gates and Grids,real_public_reference
160bca581493baf697682ca19be3080309bbe0eb72f2a52c5f56b8d74049542f,D2,cspools,Pools,csnonpriv,Non Private (Rental Accomodation),real_public_reference
161500617c79fd4e40a8874cbb8b828336c89cc30cbb0914635f361f9115a3c3,D2,cscrmereq,CRM E-request,e-request,E-Request,real_public_reference
17271946ead54c500a408e38102889f959fb64705d02bbe0a08901c5da1071c2,D2,cscomplmt,Compliment,comeng,Communications & Engagement Section,real_public_reference
17c0fd744605054dff154a239351292a422cf60164b28a848c7055a99437adde,D2,csbuildpc,Privately Certified Building Lodgement,csform17,Form 17 – Final Certificate Swimming Pool,real_public_reference
17ecff0ab6dcbfc226010146515100e80756bb4fddb1d6fed845b6a9333da990,D2,csinforeq,Information Request,cshlthcomp,Health Compliance,real_public_reference
17f901971f89287eda7c85e04005499ae716579786dcc229f04d25b38b7dcb2f,D2,csbuildpc,Privately Certified Building Lodgement,csform21,Form 21 – Final Inspection Certificates,real_public_reference
18d3d519d287d9599b16e68c18cad4fbfe26e32c755c6b5c7a47e3c18b6afefe,D2,csstrmdrn,Stormwater Drainage,csnewdrn,New Drain,real_public_reference
19580caf252c380ba0cd7ffdc8e4041a54d842a76aab19a0adbaa43e5c1f19a9,D2,complaint,Complaint - General,procure,Procurement Section,real_public_reference
196e24f4f217580db4ba075a8047ce0ffaa0f92a6d12964659cb89bdc43307cd,D2,csanimangt,Animal Management,csunreg,Unregistered,real_public_reference
1a8d8298fed4f54185a4c59b92af0b26328f373e722578f517dba8435972be14,D2,csprkopn,Parks and Open Space,csadvspec,Advice/ Special Request,real_public_reference
1af6c14b4f2a0ec94816793d17d47f3e28968ec8aed0897e28c3dbe4d8d0c31a,D2,csflagbann,Flags Flag Poles and Banner Poles,csflagpole,Flag Pole,real_public_reference
1ba00f2a784c58158954f4c39aaf078102669a63d793b6571775614a81e290e3,D2,csanimangt,Animal Management,csencl,Enclosure,real_public_reference
1cd782798b0f968050d71c263b11b942ec44cdb6b3b82373b579afa268ad3006,D2,csexecinf,CEO and Executive Information Request,csipexec,IPAF Executive Information,real_public_reference
1d1b9a4ab42789f19a54fb908cbf1d78f69bcd5716b83b22ff8506db47428b6a,D2,csspatprop,Spatial Services/Property Land Street Maintenance,csendplans,Endorsed Plans,real_public_reference
1da348fa189faf7ccf67294851e289f5ed2192fa35b7aebeaa234c85760d057b,D2,csntrlmgmt,Natural Area Management,csntreeplt,Native Tree Planting Programs,real_public_reference
1e2e93ba291a15d1f95a13b62620ec048f2bf5ba87f95f24495bba64758deff8,D2,csgraffiti,Graffiti,csinoffen,Graffiti - Inoffensive,real_public_reference
1ea6f6e0d4148a440807c149315136941db4e1891261d4b49ee1d47d984cc5ad,D2,csexecinf,CEO and Executive Information Request,csplnexec,Planning Executive Information,real_public_reference
1edb8a5a2c2e7adfa7d3edfe3d61ecc26ab5aad76c312612d8aad13e4c30b8f0,D2,csregserv,EH & Regulatory Services Request for Service,rtwaives,PIN request to waive/review - EH & Regulatory Serv,real_public_reference
1f08803594db72e5ef7f59224a8a152e7465f22b293eb23983506f320a628457,D2,csrates,Rates,csratesco,Advice of change of Owner / Form 24,real_public_reference
20c7f229bd4187575135eaaca098b483d807ae416af6bfc61b17194c0a80f5cf,D2,cscarprk,Parking,csticmac,Ticketing Machine/Faulty Meter,real_public_reference
21d058d3be872d1e92ab04892e16be6951fc785e1a6c753d174e9e9573fd8cba,D2,cswsteserv,Waste Services,csnserv,Bins New Service,real_public_reference
2249e47badafa83a3547b30c14b19ed4de014a30565931f2b354263eb8c6180a,D2,csstrtswp,Street Sweeping,csstrtswpu,Street Sweeping (Unscheduled),real_public_reference
237dfa4d213a9af3f2185fb62d9281c675a4753b1e9e17fa78be376180d63096,D2,csgraffiti,Graffiti,csoffen,Graffiti - Offensive,real_public_reference
23a4b8a8c4033196b9beba08d7f0dea03452e18ceff745cc066979957fa45665,D2,cschgadd,Change of Address/Details,csratechga,Change of Address (Rates),real_public_reference
23b7561e3f6c1c55e45070329693b5c47265c7f4a8b784ca80528efc26dbb007,D2,complaint,Complaint - General,comcust,Communications & Customer Experience,real_public_reference
23c7046a98432ec1aa1a00e95ea2b88784590e9c9c2db91e355a079330118216,D2,csntrlmgmt,Natural Area Management,csclnausd,Clean Up Australia Day & Great Northern Clean Up,real_public_reference
23faef3b3f4cc3471ca151c56f00f7eecc0d6654542d54d794839a13a41c8c77,D2,csanimangt,Animal Management,cswander,Wandering,real_public_reference
24046c17883a3848d573eb5470d54775f36245a07eea76472025897d32797a3d,D2,csanimangt,Animal Management,csbreeder,Dog Breeders,real_public_reference
245a624e91bb33f2d5b029871ce128fa3c29335721b8a05b61495de44f1f4a33,D2,cswtrinf,Water Infrastructure,cswtrlhyd,Leaking Fire Hydrant,real_public_reference
247fe9c4274b96f2ff2370c799f9d97a02b77661fc42444008fba6e539fc5bfd,D2,csera,ERA,csresiden,Residential,real_public_reference
248559254a9a0f14a3db44ca377a4b9c243d26ee2e2ccbd751b5f1715e42efa6,D2,csenquiry,Customer Enquiries,cskerbwste,Kerbside Waste Collection,real_public_reference
248d3260740e45348cfe770064d11ea80e6801c806b6f64cbb95f6265c137452,D2,cspkscrt,Security,csalcohol,Alcohol in TCC Parks/Buildings,real_public_reference
24b335d7921511f3c49d0be0d2411fee37c64df4e3cb370aab94c5ca8ced328b,D2,cstree,Trees,cswbnpr,Wasps,real_public_reference
