decision_key,ledger_event_key,source_key,date_key,occurred_at_utc,correlation_id,accountable_owner_id,policy_key,provider_key,environment_key,category_key,priority_code,category_confidence,gate_status,can_execute,human_review_required,proposed_action,coordinates_supplied,asset_key,asset_distance_metres,data_truth_class,review_state,current_review_action
9e43efab-0475-5541-96c4-dde79841379c,d0d6a1aa-d6cf-5939-b7ca-a668c87a7f01,D6,20250901,2025-09-01T09:00:00+00:00,synthetic-0001,owner:1,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P2,0.95,pass,1,0,create_draft_work_order,1,d3efe887-9624-46db-8418-f0ec53580d79,0.0,synthetic_operational,reviewed,override
22290104-16a8-5891-b802-24e1b6348e1c,526bcb9a-7ee0-54db-8701-f8ce6027b95c,D6,20250902,2025-09-02T09:00:00+00:00,synthetic-0002,owner:2,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P3,0.95,pass,1,0,create_draft_work_order,1,b501c2c5-dd5d-460b-a987-2c2b1aebfe5e,0.0,synthetic_operational,reviewed,accept
ed2ef7d3-7ba6-5136-88ac-d5ce6b52fcc5,a070e81c-121e-5c2e-8d48-7cf364852fe6,D6,20250903,2025-09-03T09:00:00+00:00,synthetic-0003,owner:3,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P3,0.95,reject,0,0,create_draft_work_order,0,,,synthetic_operational,pending,
669589fa-2b0d-53b9-a5fc-cbf56fd2fa7c,71000e47-fc3d-50a5-86d5-264278b91dfe,D6,20250904,2025-09-04T09:00:00+00:00,synthetic-0004,owner:4,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,general_enquiry,P4,0.3,escalate,0,1,create_draft_work_order,0,,,synthetic_operational,reviewed,escalate
7845d69b-fa3f-5aab-94af-76389b96047f,96c4ff13-d1c0-50cf-9883-4bd70510951e,D6,20250905,2025-09-05T09:00:00+00:00,synthetic-0005,owner:5,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P3,0.95,escalate,0,1,create_draft_work_order,1,,,synthetic_operational,reviewed,escalate
ab5f7378-6302-546c-a3a9-d5060e44fc74,73fdea00-a4aa-546b-9ad0-840502eaa200,D6,20250906,2025-09-06T09:00:00+00:00,synthetic-0006,owner:1,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,roads_footpaths,P2,0.82,escalate,0,0,create_draft_work_order,1,,,synthetic_operational,pending,
b725ecf8-4133-59fb-8fe4-ed112306de44,464b6deb-f52b-5beb-97d8-6f8a993faed6,D6,20250907,2025-09-07T09:00:00+00:00,synthetic-0007,owner:2,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P1,0.82,escalate,0,1,create_draft_work_order,1,722327ab-64e0-4522-8379-e4f3122bd3dc,0.0,synthetic_operational,reviewed,escalate
9118eec9-0a3e-5b1a-8344-cbed808e495d,f5699d30-f671-5015-b15a-aca48dc2e8d7,D6,20250908,2025-09-08T09:00:00+00:00,synthetic-0008,owner:3,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P3,0.95,pass,1,0,create_draft_work_order,1,525ea782-8ccd-4119-aec3-eac13303453b,0.0,synthetic_operational,reviewed,accept
952efd80-4e77-5be2-ad5f-0d63eb569b3f,0f621bbd-901b-5b4e-95c8-0cfdf12ac4bc,D6,20250909,2025-09-09T09:00:00+00:00,synthetic-0009,owner:4,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P3,0.95,pass,1,0,create_draft_work_order,1,fd0e8824-212f-423e-935f-ef0ae3b8a469,0.0,synthetic_operational,pending,
56050437-5edc-5150-8589-8a19b47c5091,922f6635-f25c-5e41-8986-7a9b5dc8e5b4,D6,20250910,2025-09-10T09:00:00+00:00,synthetic-0010,owner:5,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P2,0.95,reject,0,0,close_live_case,1,cea3ae20-f8cd-460a-9944-35b920eac196,0.0,synthetic_operational,reviewed,override
c2511f82-cd9b-54d3-b0e3-6e4cae3a4d53,e16c7ec9-1126-5fe7-b532-768643dcf527,D6,20250911,2025-09-11T09:00:00+00:00,synthetic-0011,owner:1,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P2,0.95,pass,1,0,create_draft_work_order,1,ad416889-ecbd-47d9-836a-6056087a49c0,0.0,synthetic_operational,reviewed,accept
c206e121-4dfc-5432-906b-1f682b04085a,a7fe47dd-194f-5cdf-be2b-72bbe58b361d,D6,20250912,2025-09-12T09:00:00+00:00,synthetic-0012,owner:2,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P3,0.95,pass,1,0,create_draft_work_order,1,f8afbc63-675b-40b6-914a-b5f4fed780ee,0.0,synthetic_operational,pending,
07d15838-d70e-5ca3-b6ac-534d72716a47,ad2ac48b-a219-5d63-b154-234be292ebe5,D6,20250913,2025-09-13T09:00:00+00:00,synthetic-0013,owner:3,9161f77954b7ae4d7a0cd406876e458f0d2573b334e95178e3121769da74236d,e696d4fbf92346a6a7f25ce9abc17a7f431cd32976a57e13df7c83e9f986da78,local,waste_litter,P3,0.95,reject,0,0,create_draft_work_order,0,,,synthetic_operational,reviewed,escalate
