gate_rule_key,decision_key,rule_id,rule_outcome,rule_effect,rule_message,data_truth_class
0f48b19cd44bbd69e08aae0fc49f68acbcee52fa0d4c01a1b3f7716c46fef29e,9e43efab-0475-5541-96c4-dde79841379c,POL-SCOPE-001,pass,allow,Category 'waste_litter' is within the demonstration policy scope.,synthetic_operational
0f2fa01f11260bf5d71ed7fb5df598912f1c21f0e036b989e68e203bfbcc734c,9e43efab-0475-5541-96c4-dde79841379c,POL-ACTION-001,pass,allow,Action 'create_draft_work_order' is permitted as a draft-only action.,synthetic_operational
c6e15e11ad887516cb46a1b228a06fb9e5168cbae624d1dc54e5e9660d21d9cb,9e43efab-0475-5541-96c4-dde79841379c,POL-LOCATION-001,pass,allow,Required latitude and longitude were supplied.,synthetic_operational
d5960153fd21a2d4c636ac2f9670e1bd3c68e05a250b95b07f309cf535f5fe71,9e43efab-0475-5541-96c4-dde79841379c,POL-ASSET-001,pass,allow,The supplied point matched a public litter-bin asset.,synthetic_operational
c4a1485c4807c6ed77bd6ae35af91cdf61cb4697f0e5fed3ce316dc0fba01119,9e43efab-0475-5541-96c4-dde79841379c,POL-SAFETY-001,pass,allow,Priority P2 does not trigger the emergency escalation rule.,synthetic_operational
19aa7a7025c8d4da8f9ad33cd029a2cf3b748a7b3069a8f85e70b6df22c0ad0d,9e43efab-0475-5541-96c4-dde79841379c,POL-CONFIDENCE-001,pass,allow,Category confidence 0.95 meets the 0.70 threshold.,synthetic_operational
5ec14976d6d2e67aec3ed3b81b6b64fe1171818f5b839c3b4c23bdc9390aa531,9e43efab-0475-5541-96c4-dde79841379c,POL-REVIEW-001,pass,allow,The diagnosis contains no human-review flag.,synthetic_operational
64dd21264841f84d5610baeb787c823e622e70340a9355fa358a7b2cf12d2be2,22290104-16a8-5891-b802-24e1b6348e1c,POL-SCOPE-001,pass,allow,Category 'waste_litter' is within the demonstration policy scope.,synthetic_operational
3b1b7000e200c0bab33926569bdd86ad73a6afc3b2c3ef47be39d0c401c0af6c,22290104-16a8-5891-b802-24e1b6348e1c,POL-ACTION-001,pass,allow,Action 'create_draft_work_order' is permitted as a draft-only action.,synthetic_operational
c7a3a414fa804219c78cbfd7ce4bdec568b908581248369bd10fcc638a1f46e5,22290104-16a8-5891-b802-24e1b6348e1c,POL-LOCATION-001,pass,allow,Required latitude and longitude were supplied.,synthetic_operational
36f7e60929b8617873496c210131a9a735e31e67cea8b52da8f6a8c028897b64,22290104-16a8-5891-b802-24e1b6348e1c,POL-ASSET-001,pass,allow,The supplied point matched a public litter-bin asset.,synthetic_operational
49de313b6616a5decb234ec36e551ac77e197ef711385b7b19b496f38d63bd64,22290104-16a8-5891-b802-24e1b6348e1c,POL-SAFETY-001,pass,allow,Priority P3 does not trigger the emergency escalation rule.,synthetic_operational
e2efd3c646ab4e896a5dd6f90eeeb553a93a528f15ed1dde7d1da800e276e5ff,22290104-16a8-5891-b802-24e1b6348e1c,POL-CONFIDENCE-001,pass,allow,Category confidence 0.95 meets the 0.70 threshold.,synthetic_operational
