Group Code,Group Description,Category Code,Category Description,Year,Month,Date,Request Count
Complaint,Complaint - General,AssetFleet,Infrastructure Planning Assets & Fleet Section,2018,7,1/07/2018,6
Complaint,Complaint - General,ComEng,Community Engagement Section,2018,7,1/07/2018,1
Complaint,Complaint - General,MaintPlan,Construction Maintenance & Operations Section,2018,7,1/07/2018,6
Complaint,Complaint - General,PlanSect,Planning Section - RS and EH and Planning,2018,7,1/07/2018,4
Complaint,Complaint - General,WatWaste,Water/Wastewater/Waste Section,2018,7,1/07/2018,10
CSAccum,Accumulated Material,CSCychaz,Cyclone/Community Safety Hazard,2018,7,1/07/2018,3
CSAccum,Accumulated Material,CSUntdyalo,Unsightly Allotments,2018,7,1/07/2018,18
CSAnimals,Animals,CSApproval,Animal Approval,2018,7,1/07/2018,2
CSAniMangt,Animal Management,CSAggrsve,Aggressive Animal,2018,7,1/07/2018,60
CSAniMangt,Animal Management,CSApproval,Animal Approval,2018,7,1/07/2018,19
CSAniMangt,Animal Management,CSAttack,Attack,2018,7,1/07/2018,38
CSAniMangt,Animal Management,CSBreeder,Dog Breeders,2018,7,1/07/2018,1
CSAniMangt,Animal Management,CSDefecate,Defecating Animal,2018,7,1/07/2018,3
CSAniMangt,Animal Management,CSEncl,Enclosure,2018,7,1/07/2018,82
CSAniMangt,Animal Management,CSExcess,Excess,2018,7,1/07/2018,32
CSAniMangt,Animal Management,CSNoApprov,No Approval,2018,7,1/07/2018,1
CSAniMangt,Animal Management,CSNoise,Noise,2018,7,1/07/2018,172
CSAniMangt,Animal Management,CSOdour,Odour,2018,7,1/07/2018,3
CSAniMangt,Animal Management,CSPrivImpd,Private Impound,2018,7,1/07/2018,163
CSAniMangt,Animal Management,CSPstAml,Pest Animals,2018,7,1/07/2018,9
CSAniMangt,Animal Management,CSPstMgt,Pest Management Plan,2018,7,1/07/2018,6
CSAniMangt,Animal Management,CSRegu,Regulated Dog Inspections,2018,7,1/07/2018,8
CSAniMangt,Animal Management,CSStray,Stray,2018,7,1/07/2018,32
CSAniMangt,Animal Management,CSUnreg,Unregistered,2018,7,1/07/2018,10
CSAniMangt,Animal Management,CSWander,Wandering,2018,7,1/07/2018,89
CSAsbest,Asbestos,CSAsbestos,Asbestos,2018,7,1/07/2018,4
CSBldCompl,Building Compliance,CSNStrct,Possible non-compliant building or structure,2018,7,1/07/2018,17
CSBridges,Bridges and Footbridges,csrepmain,Repair/Maintenance,2018,7,1/07/2018,1
CSBtRamp,Boat Ramps,CSClnMt,Cleaning/Maintainence,2018,7,1/07/2018,1
CSBurn,Backyard Burning,CSBackyard,Fire Hazard,2018,7,1/07/2018,7
CSBusShlt,Bus Shelters,CSRepMain,Repair/Maintenance,2018,7,1/07/2018,4
CSCamp,Camping,CSCamping,Camping,2018,7,1/07/2018,13
CSCarprk,Parking,CSInfVhcl,Infringing Vehicle,2018,7,1/07/2018,36
CSCarprk,Parking,CSTicmac,Ticketing Machine/Faulty Meter,2018,7,1/07/2018,29
CSChgadd,Change of Address/Details,CSEHChgM,Change of Mailing Address (Business Licence),2018,7,1/07/2018,1
CSChgadd,Change of Address/Details,CSRateChgA,Change of Address (Rates),2018,7,1/07/2018,323
CSComplmt,Compliment,AssetFleet,Infrastructure Planning Assets & Fleet Section,2018,7,1/07/2018,1
CSComplmt,Compliment,ComEng,Community Engagement Section,2018,7,1/07/2018,6
CSComplmt,Compliment,MaintPlan,Construction Maintenance & Operations Section,2018,7,1/07/2018,14
CSComplmt,Compliment,PlanSect,Planning Section - RS and EH and Planning,2018,7,1/07/2018,1
CSComplmt,Compliment,TWW,Water & Waste Section,2018,7,1/07/2018,10
CSCSH,Community Safety Hazards,CSCSH,Community Saftey Hazards,2018,7,1/07/2018,1
CSDevInfo,Building and Development Information,CSBldPerm,Building Advice Enquiries,2018,7,1/07/2018,2
CSDevInfo,Building and Development Information,CSDevEnq,Current development - enquiries,2018,7,1/07/2018,2
CSDevInfo,Building and Development Information,csplnadvce,Planning Advice Enquiries,2018,7,1/07/2018,104
CSDrvWay,Driveways,CSConcrt,Concrete Broken or Missing,2018,7,1/07/2018,1
CSDump,Dumping,CSDumping,Non-Compliant Dumping,2018,7,1/07/2018,29
CSDust,Dust & Smoke,CSComm,Commercial,2018,7,1/07/2018,5
CSDust,Dust & Smoke,CSResiden,Residential,2018,7,1/07/2018,16
CSEra,ERA,CSComm,Commercial,2018,7,1/07/2018,5
CSEra,ERA,CSResiden,Residential,2018,7,1/07/2018,4
CSFood,Food,CSHandling,Handling,2018,7,1/07/2018,1
CSFood,Food,CSPremises,Premises,2018,7,1/07/2018,10
CSFood,Food,CSVehicle,Vehicle,2018,7,1/07/2018,1
CSFprr,Footpath,CSDefect,Defects,2018,7,1/07/2018,48
CSFprr,Footpath,CSObstrn,Obstruction,2018,7,1/07/2018,8
CSGraffiti,Graffiti,CSInOffen,Graffiti - Inoffensive,2018,7,1/07/2018,10
CSGraffiti,Graffiti,CSOffen,Graffiti - Offensive,2018,7,1/07/2018,3
CSInfoReq,Information Request,CSAniMgmt,Animal Management,2018,7,1/07/2018,10
CSInfoReq,Information Request,CSDevcompl,Development Compliance,2018,7,1/07/2018,3
